Date,MONTH,Product,Category,Sales Representative,City,No. of Units,Price,Amount
08-09-2021,September,iPhone 11 Pro,Phone,Bruce,Bangalore,37,1991,73667
17-04-2021,April,HP Envy x360,Laptop,Aryan,Cochin,7,172,1204
09-01-2021,January,Dell XPS 13,Phone,Giana,Delhi,23,285,6555
29-04-2021,April,Apple AirPods Pro,Laptop,Kate,Delhi,9,290,2610
12-07-2021,July,Apple AirPods Pro,Phone,Tara,Delhi,39,1706,66534
14-10-2021,October,HP Envy x360,Phone,Asif,Mumbai,29,723,20967
25-05-2021,May,Apple AirPods Pro,Headphone,Aryan,Mumbai,15,1534,23010
09-11-2021,November,iPhone 11 Pro,Laptop,Kate,Delhi,16,1672,26752
21-02-2021,February,Dell XPS 13,Headphone,Asif,Delhi,42,448,18816
11-04-2021,April,Apple AirPods Pro,Laptop,Kate,Delhi,34,442,15028
30-10-2021,October,Dell XPS 13,Phone,Bruce,Cochin,40,984,39360
16-05-2021,May,OnePlus Buds,Headphone,Asif,Mumbai,25,491,12275
03-08-2021,August,OnePlus Buds,Headphone,Krish,Cochin,7,368,2576
16-01-2021,January,Apple AirPods Pro,Laptop,Tara,Cochin,19,1206,22914
24-08-2021,August,Dell XPS 13,Laptop,Tara,Bangalore,40,1497,59880
17-07-2021,July,iPhone 11 Pro,Headphone,Kate,Delhi,22,1315,28930
14-05-2021,May,OnePlus Buds,Phone,Asif,Mumbai,23,474,10902
24-02-2021,February,HP Envy x360,Phone,Asif,Bangalore,39,495,19305
01-03-2021,March,Apple AirPods Pro,Headphone,Aryan,Cochin,36,372,13392
16-12-2021,December,Dell XPS 13,Headphone,Kate,Mumbai,45,884,39780
24-03-2021,March,HP Envy x360,Phone,Tara,Cochin,21,1952,40992
27-09-2021,September,iPhone 11 Pro,Laptop,Giana,Cochin,38,846,32148
02-08-2021,August,HP Envy x360,Laptop,Asif,Cochin,20,204,4080
18-01-2021,January,Dell XPS 13,Phone,Asif,Mumbai,34,1377,46818
19-10-2021,October,HP Envy x360,Phone,Asif,Delhi,3,740,2220
07-04-2021,April,OnePlus Buds,Headphone,Giana,Delhi,49,1463,71687
30-04-2021,April,Dell XPS 13,Headphone,Aryan,Delhi,32,1011,32352
11-04-2021,April,HP Envy x360,Laptop,Asif,Cochin,2,321,642
21-11-2021,November,iPhone 11 Pro,Phone,Bruce,Delhi,13,1809,23517
16-01-2021,January,OnePlus Buds,Laptop,Krish,Bangalore,17,1769,30073
05-06-2021,June,HP Envy x360,Phone,Tara,Cochin,28,1387,38836
20-10-2021,October,iPhone 11 Pro,Phone,Tara,Delhi,49,138,6762
03-07-2021,July,HP Envy x360,Headphone,Krish,Bangalore,20,1674,33480
18-01-2021,January,HP Envy x360,Laptop,Tara,Cochin,20,118,2360
04-12-2021,December,Dell XPS 13,Laptop,Tara,Cochin,26,1778,46228
06-10-2021,October,HP Envy x360,Laptop,Krish,Cochin,21,653,13713
04-05-2021,May,Apple AirPods Pro,Headphone,Asif,Bangalore,5,321,1605
19-10-2021,October,OnePlus Buds,Headphone,Tara,Mumbai,37,1544,57128
28-11-2021,November,OnePlus Buds,Headphone,Kate,Bangalore,40,823,32920
13-02-2021,February,Dell XPS 13,Phone,Krish,Delhi,11,393,4323
05-11-2021,November,OnePlus Buds,Phone,Tara,Delhi,1,718,718
21-12-2021,December,HP Envy x360,Laptop,Aryan,Bangalore,15,679,10185
14-09-2021,September,Apple AirPods Pro,Headphone,Kate,Delhi,39,1961,76479
15-10-2021,October,Dell XPS 13,Phone,Aryan,Delhi,38,1194,45372
03-03-2021,March,iPhone 11 Pro,Laptop,Asif,Mumbai,19,1923,36537
11-07-2021,July,iPhone 11 Pro,Phone,Aryan,Mumbai,7,320,2240
25-06-2021,June,iPhone 11 Pro,Headphone,Krish,Bangalore,15,1133,16995
02-03-2021,March,HP Envy x360,Headphone,Asif,Cochin,46,1907,87722
06-03-2021,March,iPhone 11 Pro,Phone,Asif,Delhi,19,248,4712
28-05-2021,May,OnePlus Buds,Headphone,Giana,Delhi,5,586,2930
01-01-2022,January,OnePlus Buds,Phone,Tara,Bangalore,30,1389,41670
13-06-2021,June,iPhone 11 Pro,Headphone,Aryan,Bangalore,6,268,1608
03-05-2021,May,iPhone 11 Pro,Phone,Aryan,Delhi,19,1355,25745
08-07-2021,July,Apple AirPods Pro,Laptop,Asif,Cochin,49,153,7497
15-08-2021,August,Apple AirPods Pro,Phone,Krish,Bangalore,44,978,43032
16-08-2021,August,iPhone 11 Pro,Laptop,Bruce,Delhi,38,1154,43852
21-12-2021,December,HP Envy x360,Laptop,Krish,Bangalore,18,1259,22662
03-11-2021,November,Dell XPS 13,Headphone,Giana,Cochin,4,1771,7084
24-12-2021,December,Apple AirPods Pro,Laptop,Bruce,Cochin,34,605,20570
12-01-2021,January,OnePlus Buds,Laptop,Kate,Mumbai,24,926,22224
14-11-2021,November,iPhone 11 Pro,Laptop,Krish,Cochin,35,723,25305
06-07-2021,July,OnePlus Buds,Phone,Kate,Bangalore,17,1294,21998
01-04-2021,April,Dell XPS 13,Phone,Kate,Mumbai,8,876,7008
07-12-2021,December,iPhone 11 Pro,Laptop,Tara,Cochin,19,1983,37677
30-05-2021,May,iPhone 11 Pro,Laptop,Asif,Delhi,5,1441,7205
11-10-2021,October,OnePlus Buds,Headphone,Tara,Cochin,7,935,6545
27-01-2021,January,HP Envy x360,Headphone,Kate,Mumbai,35,1329,46515
09-12-2021,December,OnePlus Buds,Headphone,Asif,Mumbai,47,697,32759
23-12-2021,December,Apple AirPods Pro,Phone,Krish,Cochin,22,1082,23804
17-09-2021,September,OnePlus Buds,Headphone,Tara,Cochin,31,1965,60915
17-02-2021,February,Dell XPS 13,Phone,Tara,Cochin,24,166,3984
05-01-2021,January,OnePlus Buds,Laptop,Krish,Mumbai,49,1307,64043
16-05-2021,May,Dell XPS 13,Laptop,Kate,Delhi,22,1848,40656
21-04-2021,April,HP Envy x360,Phone,Giana,Bangalore,30,419,12570
23-03-2021,March,iPhone 11 Pro,Headphone,Tara,Bangalore,10,1876,18760
21-07-2021,July,HP Envy x360,Phone,Tara,Mumbai,33,334,11022
15-02-2021,February,Dell XPS 13,Headphone,Tara,Mumbai,7,1538,10766
03-04-2021,April,HP Envy x360,Phone,Kate,Bangalore,18,1912,34416
17-07-2021,July,Apple AirPods Pro,Phone,Aryan,Delhi,7,556,3892
10-05-2021,May,iPhone 11 Pro,Headphone,Krish,Delhi,46,355,16330
02-03-2021,March,Dell XPS 13,Laptop,Bruce,Delhi,30,787,23610
22-04-2021,April,Apple AirPods Pro,Phone,Bruce,Cochin,24,1611,38664
03-08-2021,August,OnePlus Buds,Laptop,Kate,Delhi,34,311,10574
04-04-2021,April,iPhone 11 Pro,Headphone,Aryan,Bangalore,48,463,22224
26-03-2021,March,Apple AirPods Pro,Headphone,Krish,Mumbai,4,489,1956
12-08-2021,August,OnePlus Buds,Laptop,Krish,Cochin,13,127,1651
04-07-2021,July,iPhone 11 Pro,Phone,Asif,Cochin,34,1576,53584
23-07-2021,July,Apple AirPods Pro,Laptop,Aryan,Mumbai,19,1336,25384
13-02-2021,February,iPhone 11 Pro,Laptop,Kate,Mumbai,22,824,18128
10-11-2021,November,HP Envy x360,Phone,Krish,Delhi,26,237,6162
21-07-2021,July,HP Envy x360,Headphone,Krish,Mumbai,37,447,16539
28-11-2021,November,HP Envy x360,Headphone,Krish,Mumbai,6,846,5076
19-11-2021,November,OnePlus Buds,Headphone,Asif,Delhi,12,1149,13788
24-07-2021,July,iPhone 11 Pro,Headphone,Kate,Cochin,1,119,119
24-08-2021,August,HP Envy x360,Laptop,Kate,Cochin,25,431,10775
03-03-2021,March,Apple AirPods Pro,Laptop,Kate,Bangalore,34,1211,41174
01-12-2021,December,HP Envy x360,Laptop,Giana,Cochin,23,652,14996
17-01-2021,January,Apple AirPods Pro,Headphone,Krish,Mumbai,2,1688,3376
06-05-2021,May,OnePlus Buds,Laptop,Kate,Delhi,38,1157,43966
13-04-2021,April,HP Envy x360,Laptop,Giana,Delhi,18,830,14940
27-12-2021,December,Dell XPS 13,Phone,Tara,Bangalore,48,112,5376
25-12-2021,December,HP Envy x360,Headphone,Krish,Mumbai,21,379,7959
06-09-2021,September,Dell XPS 13,Phone,Bruce,Mumbai,37,404,14948
13-01-2021,January,Dell XPS 13,Laptop,Tara,Mumbai,8,1956,15648
04-06-2021,June,OnePlus Buds,Laptop,Bruce,Mumbai,2,955,1910
02-04-2021,April,Apple AirPods Pro,Laptop,Asif,Bangalore,36,1001,36036
09-02-2021,February,HP Envy x360,Phone,Tara,Cochin,26,301,7826
22-03-2021,March,iPhone 11 Pro,Laptop,Aryan,Cochin,33,1699,56067
12-01-2021,January,HP Envy x360,Phone,Giana,Delhi,31,104,3224
20-06-2021,June,HP Envy x360,Phone,Kate,Bangalore,13,168,2184
11-11-2021,November,iPhone 11 Pro,Phone,Krish,Delhi,12,614,7368
11-06-2021,June,OnePlus Buds,Headphone,Giana,Mumbai,25,1811,45275
20-11-2021,November,OnePlus Buds,Headphone,Krish,Bangalore,29,1537,44573
26-03-2021,March,HP Envy x360,Laptop,Tara,Cochin,50,1064,53200
02-02-2021,February,iPhone 11 Pro,Phone,Kate,Bangalore,37,927,34299
14-09-2021,September,OnePlus Buds,Headphone,Asif,Mumbai,12,131,1572
13-02-2021,February,iPhone 11 Pro,Phone,Aryan,Mumbai,16,1318,21088
21-04-2021,April,HP Envy x360,Headphone,Giana,Mumbai,27,1739,46953
20-06-2021,June,Dell XPS 13,Phone,Kate,Mumbai,1,1235,1235
31-12-2021,December,HP Envy x360,Phone,Asif,Cochin,22,1859,40898
11-07-2021,July,iPhone 11 Pro,Phone,Kate,Bangalore,36,419,15084
15-04-2021,April,OnePlus Buds,Laptop,Kate,Cochin,14,404,5656
18-04-2021,April,iPhone 11 Pro,Headphone,Asif,Cochin,5,1248,6240
29-12-2021,December,Apple AirPods Pro,Phone,Krish,Bangalore,8,891,7128
05-11-2021,November,HP Envy x360,Phone,Aryan,Mumbai,18,140,2520
03-03-2021,March,HP Envy x360,Phone,Tara,Delhi,12,1623,19476
04-03-2021,March,iPhone 11 Pro,Laptop,Kate,Mumbai,45,200,9000
30-07-2021,July,iPhone 11 Pro,Laptop,Tara,Bangalore,37,1651,61087
07-03-2021,March,Dell XPS 13,Phone,Bruce,Mumbai,13,510,6630
10-09-2021,September,Dell XPS 13,Phone,Bruce,Bangalore,8,121,968
07-10-2021,October,Apple AirPods Pro,Laptop,Giana,Cochin,9,1522,13698
22-05-2021,May,HP Envy x360,Laptop,Bruce,Cochin,13,553,7189
08-09-2021,September,Dell XPS 13,Phone,Bruce,Mumbai,25,1895,47375
10-10-2021,October,HP Envy x360,Phone,Bruce,Cochin,23,1913,43999
28-11-2021,November,Apple AirPods Pro,Laptop,Kate,Bangalore,32,858,27456
26-02-2021,February,Apple AirPods Pro,Phone,Bruce,Cochin,17,567,9639
20-05-2021,May,HP Envy x360,Laptop,Kate,Delhi,14,982,13748
02-05-2021,May,Apple AirPods Pro,Headphone,Kate,Bangalore,47,739,34733
12-09-2021,September,OnePlus Buds,Laptop,Tara,Delhi,28,1819,50932
23-03-2021,March,iPhone 11 Pro,Laptop,Bruce,Cochin,45,1545,69525
12-02-2021,February,HP Envy x360,Phone,Krish,Delhi,13,223,2899
20-09-2021,September,iPhone 11 Pro,Laptop,Bruce,Mumbai,28,406,11368
14-12-2021,December,Apple AirPods Pro,Phone,Krish,Bangalore,44,1760,77440
13-09-2021,September,iPhone 11 Pro,Headphone,Krish,Bangalore,34,762,25908
13-10-2021,October,iPhone 11 Pro,Phone,Giana,Cochin,36,1613,58068
29-03-2021,March,OnePlus Buds,Laptop,Tara,Bangalore,36,1778,64008
28-11-2021,November,HP Envy x360,Laptop,Bruce,Delhi,39,1647,64233
26-04-2021,April,OnePlus Buds,Laptop,Giana,Cochin,46,677,31142
14-11-2021,November,HP Envy x360,Phone,Krish,Delhi,31,1069,33139
22-10-2021,October,Apple AirPods Pro,Phone,Giana,Mumbai,44,496,21824
05-12-2021,December,Dell XPS 13,Headphone,Giana,Bangalore,44,484,21296
22-04-2021,April,HP Envy x360,Headphone,Tara,Bangalore,42,1639,68838
31-03-2021,March,HP Envy x360,Phone,Aryan,Delhi,10,227,2270
19-03-2021,March,OnePlus Buds,Laptop,Giana,Delhi,46,1464,67344
09-10-2021,October,Apple AirPods Pro,Headphone,Tara,Cochin,43,1159,49837
11-03-2021,March,iPhone 11 Pro,Laptop,Krish,Cochin,12,758,9096
22-08-2021,August,Dell XPS 13,Headphone,Aryan,Mumbai,44,1076,47344
03-03-2021,March,iPhone 11 Pro,Laptop,Giana,Bangalore,37,1183,43771
19-09-2021,September,HP Envy x360,Laptop,Tara,Mumbai,30,1740,52200
02-04-2021,April,Apple AirPods Pro,Headphone,Giana,Mumbai,23,691,15893
16-10-2021,October,HP Envy x360,Phone,Aryan,Mumbai,14,873,12222
21-08-2021,August,OnePlus Buds,Phone,Tara,Cochin,40,830,33200
15-07-2021,July,Dell XPS 13,Headphone,Tara,Bangalore,50,1301,65050
01-01-2022,January,HP Envy x360,Phone,Bruce,Delhi,40,866,34640
21-06-2021,June,iPhone 11 Pro,Phone,Bruce,Bangalore,38,1189,45182
09-10-2021,October,HP Envy x360,Phone,Giana,Delhi,37,1311,48507
16-03-2021,March,OnePlus Buds,Headphone,Asif,Cochin,44,298,13112
27-12-2021,December,Dell XPS 13,Laptop,Aryan,Cochin,23,1076,24748
16-12-2021,December,HP Envy x360,Headphone,Aryan,Delhi,39,344,13416
28-09-2021,September,HP Envy x360,Laptop,Kate,Bangalore,22,594,13068
29-09-2021,September,HP Envy x360,Headphone,Giana,Mumbai,4,298,1192
18-09-2021,September,OnePlus Buds,Headphone,Krish,Bangalore,20,1474,29480
04-02-2021,February,iPhone 11 Pro,Headphone,Krish,Mumbai,43,589,25327
21-07-2021,July,OnePlus Buds,Headphone,Aryan,Cochin,49,317,15533
30-05-2021,May,Apple AirPods Pro,Laptop,Giana,Bangalore,35,1894,66290
09-11-2021,November,Dell XPS 13,Phone,Bruce,Bangalore,41,1717,70397
26-12-2021,December,OnePlus Buds,Headphone,Asif,Cochin,21,1369,28749
06-10-2021,October,HP Envy x360,Headphone,Bruce,Delhi,13,1734,22542
04-10-2021,October,Apple AirPods Pro,Laptop,Krish,Cochin,3,466,1398
12-06-2021,June,OnePlus Buds,Laptop,Kate,Cochin,41,342,14022
07-02-2021,February,Apple AirPods Pro,Laptop,Asif,Bangalore,10,123,1230
21-09-2021,September,Apple AirPods Pro,Headphone,Asif,Bangalore,1,1748,1748
18-06-2021,June,HP Envy x360,Headphone,Kate,Bangalore,5,691,3455
03-10-2021,October,Apple AirPods Pro,Headphone,Aryan,Mumbai,24,844,20256
07-01-2021,January,Dell XPS 13,Phone,Asif,Mumbai,43,1705,73315
26-03-2021,March,OnePlus Buds,Laptop,Tara,Bangalore,10,764,7640
15-01-2021,January,Apple AirPods Pro,Laptop,Asif,Cochin,3,1704,5112
02-09-2021,September,OnePlus Buds,Phone,Asif,Cochin,47,1695,79665
27-11-2021,November,OnePlus Buds,Laptop,Kate,Bangalore,34,667,22678
19-02-2021,February,Apple AirPods Pro,Phone,Krish,Cochin,27,1927,52029
05-02-2021,February,Apple AirPods Pro,Headphone,Krish,Mumbai,28,1188,33264
07-10-2021,October,HP Envy x360,Phone,Giana,Cochin,21,1199,25179
10-06-2021,June,Apple AirPods Pro,Laptop,Aryan,Bangalore,19,1488,28272
14-10-2021,October,OnePlus Buds,Phone,Kate,Delhi,18,1377,24786
29-06-2021,June,Apple AirPods Pro,Laptop,Krish,Bangalore,9,559,5031
16-10-2021,October,OnePlus Buds,Laptop,Aryan,Bangalore,7,208,1456
21-01-2021,January,Apple AirPods Pro,Laptop,Asif,Delhi,8,977,7816
25-10-2021,October,Apple AirPods Pro,Laptop,Asif,Bangalore,4,1615,6460
18-04-2021,April,iPhone 11 Pro,Laptop,Bruce,Bangalore,10,1945,19450
02-09-2021,September,HP Envy x360,Laptop,Giana,Cochin,24,1615,38760
28-05-2021,May,Apple AirPods Pro,Laptop,Krish,Bangalore,50,378,18900
03-02-2021,February,HP Envy x360,Headphone,Bruce,Mumbai,3,1929,5787
08-04-2021,April,Dell XPS 13,Phone,Aryan,Mumbai,18,1836,33048
02-09-2021,September,HP Envy x360,Headphone,Asif,Mumbai,31,1453,45043
06-01-2021,January,HP Envy x360,Laptop,Kate,Cochin,24,808,19392
05-10-2021,October,iPhone 11 Pro,Laptop,Aryan,Bangalore,14,290,4060
30-06-2021,June,Apple AirPods Pro,Headphone,Asif,Mumbai,42,1694,71148
08-09-2021,September,Dell XPS 13,Headphone,Kate,Delhi,7,1859,13013
28-12-2021,December,HP Envy x360,Laptop,Krish,Delhi,45,1517,68265
15-09-2021,September,OnePlus Buds,Headphone,Aryan,Cochin,39,1512,58968
27-09-2021,September,Dell XPS 13,Laptop,Krish,Cochin,38,139,5282
15-06-2021,June,iPhone 11 Pro,Headphone,Krish,Delhi,12,1561,18732
01-02-2021,February,iPhone 11 Pro,Laptop,Asif,Cochin,31,1556,48236
28-03-2021,March,OnePlus Buds,Phone,Bruce,Cochin,16,1345,21520
02-11-2021,November,OnePlus Buds,Laptop,Krish,Mumbai,3,1218,3654
21-06-2021,June,OnePlus Buds,Headphone,Asif,Mumbai,29,1391,40339
13-05-2021,May,OnePlus Buds,Headphone,Bruce,Cochin,47,1200,56400
27-10-2021,October,Apple AirPods Pro,Phone,Tara,Mumbai,28,415,11620
08-10-2021,October,OnePlus Buds,Laptop,Kate,Delhi,35,1951,68285
21-08-2021,August,OnePlus Buds,Headphone,Krish,Bangalore,13,923,11999
06-03-2021,March,Dell XPS 13,Headphone,Giana,Mumbai,44,1799,79156
28-03-2021,March,iPhone 11 Pro,Phone,Asif,Bangalore,50,1224,61200
28-06-2021,June,Dell XPS 13,Headphone,Giana,Delhi,27,1235,33345
04-11-2021,November,iPhone 11 Pro,Headphone,Kate,Cochin,27,294,7938
13-08-2021,August,iPhone 11 Pro,Phone,Aryan,Mumbai,9,509,4581
09-08-2021,August,iPhone 11 Pro,Headphone,Tara,Mumbai,10,566,5660
07-12-2021,December,HP Envy x360,Phone,Giana,Mumbai,42,444,18648
29-11-2021,November,Dell XPS 13,Phone,Tara,Cochin,42,1625,68250
22-06-2021,June,Apple AirPods Pro,Phone,Krish,Cochin,40,1980,79200
09-01-2021,January,iPhone 11 Pro,Phone,Asif,Cochin,26,1198,31148
11-01-2021,January,Apple AirPods Pro,Headphone,Kate,Mumbai,47,1256,59032
13-04-2021,April,Apple AirPods Pro,Headphone,Asif,Cochin,18,494,8892
16-06-2021,June,HP Envy x360,Phone,Aryan,Cochin,25,148,3700
23-09-2021,September,iPhone 11 Pro,Headphone,Giana,Mumbai,23,627,14421
31-03-2021,March,iPhone 11 Pro,Phone,Asif,Delhi,44,1477,64988
10-04-2021,April,HP Envy x360,Laptop,Asif,Mumbai,26,556,14456
13-02-2021,February,Dell XPS 13,Headphone,Giana,Cochin,29,593,17197
29-09-2021,September,Dell XPS 13,Laptop,Giana,Mumbai,49,1745,85505
08-08-2021,August,Dell XPS 13,Phone,Krish,Bangalore,5,1731,8655
09-02-2021,February,OnePlus Buds,Laptop,Krish,Delhi,11,1076,11836
25-11-2021,November,OnePlus Buds,Laptop,Aryan,Cochin,26,1525,39650
01-12-2021,December,Apple AirPods Pro,Phone,Giana,Cochin,39,1065,41535
20-02-2021,February,Apple AirPods Pro,Laptop,Kate,Cochin,41,1439,58999
10-02-2021,February,HP Envy x360,Phone,Giana,Mumbai,7,127,889
16-07-2021,July,iPhone 11 Pro,Laptop,Aryan,Delhi,3,716,2148
01-01-2021,January,OnePlus Buds,Headphone,Aryan,Mumbai,32,1306,41792
23-03-2021,March,Apple AirPods Pro,Laptop,Bruce,Mumbai,17,171,2907
21-06-2021,June,OnePlus Buds,Laptop,Bruce,Bangalore,50,1433,71650
28-03-2021,March,OnePlus Buds,Phone,Asif,Delhi,13,1358,17654
24-09-2021,September,Apple AirPods Pro,Laptop,Kate,Mumbai,14,1180,16520
21-08-2021,August,Dell XPS 13,Laptop,Kate,Delhi,21,309,6489
10-05-2021,May,iPhone 11 Pro,Phone,Tara,Cochin,48,101,4848
23-10-2021,October,Dell XPS 13,Phone,Tara,Bangalore,5,937,4685
04-06-2021,June,OnePlus Buds,Laptop,Giana,Bangalore,11,1326,14586
09-11-2021,November,iPhone 11 Pro,Laptop,Kate,Delhi,29,743,21547
29-10-2021,October,OnePlus Buds,Laptop,Asif,Bangalore,7,852,5964
09-12-2021,December,Apple AirPods Pro,Laptop,Kate,Mumbai,11,879,9669
07-12-2021,December,Dell XPS 13,Phone,Giana,Mumbai,7,1282,8974
19-04-2021,April,HP Envy x360,Laptop,Krish,Delhi,39,1652,64428
01-11-2021,November,iPhone 11 Pro,Laptop,Bruce,Bangalore,23,1748,40204
11-01-2021,January,OnePlus Buds,Laptop,Kate,Mumbai,47,1037,48739
15-08-2021,August,Apple AirPods Pro,Phone,Kate,Cochin,21,1445,30345
28-12-2021,December,Dell XPS 13,Phone,Tara,Cochin,22,229,5038
14-02-2021,February,iPhone 11 Pro,Headphone,Giana,Mumbai,22,348,7656
24-04-2021,April,Apple AirPods Pro,Phone,Asif,Delhi,13,295,3835
27-02-2021,February,iPhone 11 Pro,Headphone,Bruce,Delhi,36,660,23760
23-11-2021,November,OnePlus Buds,Laptop,Krish,Cochin,47,885,41595
25-01-2021,January,Apple AirPods Pro,Phone,Bruce,Mumbai,2,158,316
18-04-2021,April,Apple AirPods Pro,Phone,Tara,Cochin,40,331,13240
09-12-2021,December,iPhone 11 Pro,Headphone,Krish,Cochin,36,1820,65520
07-04-2021,April,HP Envy x360,Laptop,Asif,Delhi,32,1607,51424
19-12-2021,December,iPhone 11 Pro,Laptop,Giana,Delhi,4,649,2596
27-05-2021,May,OnePlus Buds,Laptop,Kate,Cochin,22,114,2508
16-05-2021,May,HP Envy x360,Headphone,Tara,Delhi,18,828,14904
01-10-2021,October,OnePlus Buds,Headphone,Tara,Bangalore,46,308,14168
15-05-2021,May,HP Envy x360,Phone,Asif,Mumbai,15,941,14115
12-01-2021,January,OnePlus Buds,Headphone,Tara,Cochin,36,1553,55908
18-06-2021,June,OnePlus Buds,Laptop,Krish,Delhi,15,1079,16185
06-08-2021,August,Apple AirPods Pro,Laptop,Giana,Mumbai,22,1090,23980
30-09-2021,September,HP Envy x360,Headphone,Bruce,Cochin,50,1487,74350
10-09-2021,September,Apple AirPods Pro,Headphone,Aryan,Cochin,46,283,13018
27-04-2021,April,iPhone 11 Pro,Phone,Tara,Bangalore,33,1811,59763
10-10-2021,October,Dell XPS 13,Phone,Bruce,Delhi,45,1433,64485
24-11-2021,November,Apple AirPods Pro,Laptop,Tara,Cochin,44,1456,64064
09-08-2021,August,OnePlus Buds,Phone,Asif,Cochin,21,1878,39438
22-05-2021,May,Apple AirPods Pro,Headphone,Giana,Delhi,25,601,15025
23-07-2021,July,HP Envy x360,Laptop,Krish,Delhi,46,288,13248
03-12-2021,December,OnePlus Buds,Headphone,Tara,Cochin,45,214,9630
06-06-2021,June,Apple AirPods Pro,Laptop,Bruce,Delhi,27,1865,50355
19-08-2021,August,iPhone 11 Pro,Laptop,Aryan,Mumbai,42,104,4368
02-04-2021,April,HP Envy x360,Headphone,Krish,Delhi,33,1793,59169
25-04-2021,April,Apple AirPods Pro,Headphone,Kate,Bangalore,19,440,8360
17-08-2021,August,iPhone 11 Pro,Laptop,Bruce,Mumbai,5,1554,7770
12-04-2021,April,HP Envy x360,Laptop,Aryan,Bangalore,25,1015,25375
12-04-2021,April,Apple AirPods Pro,Headphone,Aryan,Bangalore,39,367,14313
25-03-2021,March,Dell XPS 13,Phone,Bruce,Bangalore,6,1858,11148
26-11-2021,November,iPhone 11 Pro,Phone,Tara,Mumbai,11,856,9416
02-12-2021,December,OnePlus Buds,Phone,Asif,Mumbai,9,1366,12294
13-03-2021,March,iPhone 11 Pro,Phone,Tara,Delhi,19,1759,33421
15-10-2021,October,HP Envy x360,Headphone,Bruce,Mumbai,48,852,40896
05-09-2021,September,Apple AirPods Pro,Laptop,Tara,Delhi,23,428,9844
16-07-2021,July,Apple AirPods Pro,Headphone,Giana,Cochin,49,1363,66787
25-01-2021,January,OnePlus Buds,Phone,Aryan,Cochin,42,305,12810
29-08-2021,August,HP Envy x360,Laptop,Kate,Delhi,50,124,6200
17-06-2021,June,OnePlus Buds,Headphone,Giana,Bangalore,27,1167,31509
12-04-2021,April,HP Envy x360,Headphone,Asif,Mumbai,32,577,18464
27-06-2021,June,iPhone 11 Pro,Headphone,Aryan,Mumbai,50,807,40350
25-01-2021,January,OnePlus Buds,Laptop,Giana,Cochin,44,1741,76604
31-08-2021,August,Dell XPS 13,Phone,Krish,Delhi,44,1430,62920
23-02-2021,February,Dell XPS 13,Headphone,Asif,Mumbai,17,1399,23783
30-09-2021,September,OnePlus Buds,Phone,Krish,Bangalore,44,183,8052
19-01-2021,January,OnePlus Buds,Headphone,Tara,Delhi,12,1692,20304
06-04-2021,April,HP Envy x360,Phone,Asif,Delhi,47,1067,50149
31-01-2021,January,Apple AirPods Pro,Laptop,Krish,Cochin,14,111,1554
05-07-2021,July,Dell XPS 13,Phone,Krish,Bangalore,24,1469,35256
22-07-2021,July,Dell XPS 13,Headphone,Giana,Cochin,29,1969,57101
07-07-2021,July,iPhone 11 Pro,Headphone,Bruce,Mumbai,32,534,17088
01-07-2021,July,OnePlus Buds,Laptop,Krish,Bangalore,28,601,16828
10-02-2021,February,Dell XPS 13,Laptop,Aryan,Delhi,20,391,7820
08-06-2021,June,Dell XPS 13,Laptop,Asif,Mumbai,1,1008,1008
11-01-2021,January,Dell XPS 13,Laptop,Kate,Bangalore,14,352,4928
08-12-2021,December,iPhone 11 Pro,Phone,Aryan,Bangalore,39,751,29289
05-09-2021,September,HP Envy x360,Headphone,Bruce,Cochin,45,140,6300
30-04-2021,April,OnePlus Buds,Laptop,Aryan,Delhi,38,563,21394
02-01-2021,January,Dell XPS 13,Phone,Giana,Delhi,30,254,7620
15-10-2021,October,HP Envy x360,Phone,Giana,Cochin,3,1967,5901
07-10-2021,October,OnePlus Buds,Headphone,Kate,Mumbai,41,157,6437
07-03-2021,March,iPhone 11 Pro,Laptop,Asif,Bangalore,13,1278,16614
16-05-2021,May,iPhone 11 Pro,Phone,Giana,Cochin,1,1027,1027
01-04-2021,April,Dell XPS 13,Phone,Krish,Delhi,3,1746,5238
26-02-2021,February,Apple AirPods Pro,Headphone,Asif,Mumbai,13,771,10023
02-05-2021,May,OnePlus Buds,Laptop,Asif,Delhi,15,981,14715
01-06-2021,June,OnePlus Buds,Headphone,Giana,Delhi,25,887,22175
10-01-2021,January,iPhone 11 Pro,Phone,Giana,Cochin,36,110,3960
21-12-2021,December,HP Envy x360,Laptop,Bruce,Bangalore,15,1020,15300
14-08-2021,August,HP Envy x360,Laptop,Aryan,Cochin,43,998,42914
04-10-2021,October,Apple AirPods Pro,Headphone,Aryan,Delhi,30,1885,56550
15-02-2021,February,Dell XPS 13,Headphone,Asif,Mumbai,31,1256,38936
12-02-2021,February,iPhone 11 Pro,Laptop,Krish,Bangalore,1,1796,1796
21-05-2021,May,iPhone 11 Pro,Headphone,Kate,Delhi,6,356,2136
14-08-2021,August,OnePlus Buds,Headphone,Tara,Delhi,2,694,1388
17-02-2021,February,iPhone 11 Pro,Headphone,Kate,Bangalore,9,462,4158
01-02-2021,February,iPhone 11 Pro,Headphone,Tara,Bangalore,3,416,1248
09-02-2021,February,Apple AirPods Pro,Headphone,Tara,Delhi,5,910,4550
15-08-2021,August,HP Envy x360,Phone,Krish,Mumbai,34,512,17408
